"BATCHID","INSTANCE_NAME","SNAP_TIME","DB_CPU","CONCURRENCY","DB_TIME","USER_IO","SYSTEM_IO","ADMINISTRATIVE","CONFIGURATION","OTHER","SCHEDULER","APPLICATION","CLUSTER","QUEUEING","COMMIT","NETWORK"
"1818","jydqdb2","2017-05-26 09:00:00","21266.67","0","66449.34","20586","1304","0","0","14586.67","0","0","1813","0","6349","544"
"1818","jydqdb1","2017-06-10 17:00:00","26208.17","0","59630.69","24093","1272","0","0","0","0","1999","2080","0","5742","0"
"1818","jydqdb1","2017-06-04 19:00:00","16555.69","0","45169.55","20021","419","0","0","190.86","0","5500","1956","0","527","0"
"1818","jydqdb2","2017-05-19 12:00:00","47813.63","0","114671.57","41793","2178","0","0","0","0","5689","3913","0","17298","0"
"1818","jydqdb2","2017-05-17 23:00:00","24395.77","0","63724.62","34147","659","0","0","0","0","0","5873","0","3618","0"
"1818","jydqdb2","2017-05-18 01:00:00","21904.66","0","503772.57","49432","420","0","0","425996.91","0","0","4443","0","1576","0"
"1818","jydqdb2","2017-06-02 19:00:00","18241.88","0","34495.32","5313","1728","0","0","0","0","0","1035","0","9091","537"
"1818","jydqdb2","2017-06-16 13:00:00","20466.29","0","67264.32","13529","1055","0","0","29865.03","0","0","668","0","1263","418"
"1818","jydqdb1","2017-06-02 19:00:00","24815.26","0","64818.36","20759","414","0","0","1866.1","0","14374","2076","0","514","0"
"1818","jydqdb2","2017-05-20 09:00:00","23327.17","0","74571.39","39822","935","0","0","2694.22","0","0","3943","0","3850","0"
"1818","jydqdb2","2017-05-27 00:00:00","19559.35","0","53603.48","15523","1122","0","0","10307.13","0","0","1627","0","5465","0"
"1818","jydqdb2","2017-05-27 15:00:00","23226.74","0","55420.47","18853","1918","0","0","657.73","0","0","1405","0","9004","356"
"1818","jydqdb2","2017-05-28 10:00:00","24117.69","0","60232.72","19301","1868","0","0","5599.03","0","0","2415","0","6932","0"
"1818","jydqdb2","2017-05-29 07:00:00","20346.27","0","55090.84","22838","1187","0","0","1808.57","0","0","1811","0","6268","832"
"1818","jydqdb2","2017-06-05 15:00:00","19500.34","0","41044.94","11791","1390","0","0","0","0","0","2862","0","8023","0"
"1818","jydqdb2","2017-06-12 19:00:00","25773.47","0","36259.6","7038","976","0","0","599.13","0","0","404","0","992","477"
"1818","jydqdb2","2017-06-15 18:00:00","28372.29","0","42568.14","9423","1046","0","0","1426.85","0","0","382","0","1383","535"
"1818","jydqdb2","2017-06-03 18:00:00","21349.22","0","41128.39","8527","1682","0","0","185.17","0","0","1341","0","7583","461"
"1818","jydqdb2","2017-05-27 16:00:00","21091.88","0","52558.59","18689","1485","0","0","1791.71","0","0","1536","0","7422","543"
"1818","jydqdb2","2017-05-29 22:00:00","17320.29","0","41256","15793","1490","0","0","0","0","0","2458","0","10271","0"
"1818","jydqdb2","2017-05-23 06:00:00","17475.57","0","42584.51","18440","767","0","0","1008.94","0","0","3895","0","998","0"
"1818","jydqdb1","2017-05-17 12:00:00","13936.76","345","56082.25","30413","497","0","0","2004.49","0","3607","2072","0","3207","0"
"1818","jydqdb1","2017-05-18 07:00:00","12204.81","0","52707.99","36425","197","0","0","0","0","3613","1859","0","515","0"
"1818","jydqdb1","2017-05-18 09:00:00","14203.29","0","59201.6","33766","334","0","0","0","0","8983","2182","0","397","0"
"1818","jydqdb1","2017-05-21 18:00:00","12197.77","0","53587.43","19797","435","0","0","0","0","21728","1579","0","2185","0"
"1818","jydqdb2","2017-05-24 19:00:00","18021.97","0","46598.86","20218","1047","0","0","0","0","0","2454","0","4987","345"
"1818","jydqdb2","2017-06-08 21:00:00","16428.48","0","29019.63","9194","1150","0","0","0","0","0","697","0","1365","544"
"1818","jydqdb1","2017-05-25 01:00:00","14633.23","0","61506.18","35590","230","0","0","0","0","11401","3499","0","274","0"
"1818","jydqdb1","2017-05-27 15:00:00","20580.41","504","52359.33","19487","597","0","0","427.92","0","5154","1713","0","3896","0"
"1818","jydqdb1","2017-06-15 20:00:00","24915.18","0","69155.01","32996","1620","0","0","0","0","1147","2665","0","6490","0"
"1818","jydqdb2","2017-05-29 21:00:00","18639.5","0","52798.75","18589","2266","0","0","0","0","0","2109","0","16342","0"
"1818","jydqdb2","2017-05-31 16:00:00","20932.89","0","47171.86","12351","1521","0","0","4886.97","0","0","1551","0","5929","0"
"1818","jydqdb2","2017-06-11 07:00:00","19590.15","0","42333.07","13369","1279","0","0","3975.92","0","0","1432","0","1804","883"
"1818","jydqdb2","2017-06-11 15:00:00","20665.47","0","49762.76","11417","589","0","0","14732.29","0","0","1029","0","825","505"
"1818","jydqdb2","2017-06-14 03:00:00","10062.95","0","28016.41","10179","655","0","0","0","0","0","685","0","122","9781"
"1818","jydqdb2","2017-05-31 12:00:00","20671.51","0","63383.63","23795","2267","0","0","3239.12","0","0","2123","0","11288","0"
"1818","jydqdb2","2017-06-08 00:00:00","12206.13","0","36186.21","14747","432","0","0","6361.08","0","0","1330","0","642","468"
"1818","jydqdb1","2017-06-13 21:00:00","24835.29","0","61620.1","28343","1530","0","0","0","0","0","2744","0","7855","98"
"1818","jydqdb1","2017-05-25 20:00:00","46733.97","423","85255.6","31168","647","0","0","480.63","0","0","2898","0","2905","0"
"1818","jydqdb2","2017-06-04 08:00:00","19723.09","0","41616.52","6427","2049","0","0","0","0","0","1027","0","12106","540"
"1818","jydqdb2","2017-06-11 06:00:00","14802.79","0","30081.52","10991","896","0","0","979.73","0","0","1272","0","402","738"
"1818","jydqdb2","2017-05-19 09:00:00","38336.69","0","97434.32","39694","1375","0","0","8522.63","0","0","3376","0","6130","0"
"1818","jydqdb2","2017-06-03 12:00:00","22626.09","0","50992.62","8479","2010","0","0","1124.53","0","0","2899","0","13354","500"
"1818","jydqdb2","2017-06-07 13:00:00","12913.66","0","27033.22","11421","774","0","0","0","0","0","761","0","1232","783"
"1818","jydqdb1","2017-05-24 15:00:00","19107.83","0","50960.81","27943","414","0","0","0","0","3440","1746","0","622","0"
"1818","jydqdb1","2017-06-07 05:00:00","38159.33","76","72100.86","28419","224","0","0","979.53","0","256","3728","0","259","0"
"1818","jydqdb2","2017-05-29 03:00:00","15646.52","0","34199.54","12397","477","0","0","0","0","0","559","0","1357","7622"
"1818","jydqdb2","2017-06-05 21:00:00","19206.24","0","38320.62","8751","1497","0","0","0","0","0","2573","0","7751","0"
"1818","jydqdb2","2017-06-13 00:00:00","17391.11","0","32451.54","8534","804","0","0","3343.43","0","0","611","0","1299","469"
"1818","jydqdb2","2017-05-23 01:00:00","16835.91","0","51321.83","23947","614","0","0","4088.92","0","0","3630","0","2206","0"
"1818","jydqdb2","2017-06-06 21:00:00","10894.79","0","24486.17","8997","1094","0","0","841.38","0","0","705","0","1473","481"
"1818","jydqdb2","2017-06-06 22:00:00","10164.62","0","22062.27","9560","928","0","0","0","0","0","606","0","1234","584"
"1818","jydqdb2","2017-05-23 18:00:00","18294.19","0","42293.86","23160","1071","0","0","0","0","0","3732","0","5360","0"
"1818","jydqdb2","2017-05-23 20:00:00","18948.37","0","53153.77","12036","1943","0","0","6845.4","0","0","2355","0","11026","0"
"1818","jydqdb2","2017-05-31 07:00:00","20709.44","0","51319.7","19441","1660","0","0","1396.26","0","0","1296","0","6126","691"
"1818","jydqdb2","2017-05-24 17:00:00","19530.64","0","48353.45","16499","1393","0","0","1210.81","0","0","2538","0","7182","0"
"1818","jydqdb2","2017-06-07 22:00:00","16144.68","0","40573.99","13338","1226","0","0","6037.31","0","0","1655","0","1804","369"
"1818","jydqdb2","2017-06-08 03:00:00","8911.9","0","23808.04","11911","682","0","0","0","0","0","751","0","272","2673"
